825	9		free tea options
2388	12		Very poor shower
2913	2		well presented Rooms
4226	4		very polite staff
1868	3		Spacious location
613	7		free car parking
3443	14		quiet street
4733	4		helpful Staff
190	0		attractive places
3800	11		maintained rooms
2831	13		pretty comfortable bed
2280	12		larger bottle of water
3873	11		spacious room
293	0		so old funiture
330	0		stylish Everything
54	3		lots of theatres
3220	10		Lots soundproofing
1557	3		too toad works
621	7		free parking
4957	6		high price
1627	3		close to Earls
3273	10		very uncomfortable curtain
450	0		very welcoming atmosphere
4043	8		Terrible night
112	1		real nice feel
116	0		brand new hotel
3950	17		amazing view
3565	11		very comfortable Rooms
4872	6		High priced breakfast
4089	4		excellant facilties
3636	11		Spacious building
1114	1		brilliant stay
611	7		No internet facility
4839	4		very attentive staff
3361	14		very quiet sleeping
276	0		Lovely hotel
2688	13		Very difficult sleep
765	9		clean breakfast continental
3915	15		didn t work TV
3516	11		New rooms
4231	4		so rude staff
2371	12		fresh modern water pressure
2205	12		decent bathroom
133	0		Beautiful boutique
2478	13		very old duvet
152	1		fantastic hotel
1867	3		good location to
3897	11		spacious Room
1763	3		Large grocery store
4515	4		excellent inteiror
4398	4		Super friendly staff
1189	3		Perfect location
3285	10		cosy layout
210	0		stunning park
2374	12		No buckets
4411	4		young style
1861	3		very short walk to restaurants
3116	2		very attractive room
415	0		very odd place
3763	11		a little small Rooms
2524	13		extremely cold bed sheet
4219	4		Friendly staffs
641	9		comfortable tea
811	9		very nice breakfast food
977	9		enough Breakfast
2080	5		poor service
266	0		really good experience
548	7		No free parking
402	1		really good hotel
2925	2		Lovely rooms
1533	3		excellent location
2683	13		weren t changed sheets
3026	2		excellent refurbished rooms
3445	14		small security quietness
1587	3		close by bars
4795	4		friendly staff
857	9		Good breakfast
2762	13		extra comfy pillows
2194	5		didn t work Internet
4484	4		gracious polite staff
4862	6		good value for money
701	9		freshly cooked bit short Breakfast
4924	6		expensive London
1971	5		good help entrance
4827	4		friendly staff
834	9		lovely food
2620	13		comfy rooms
1143	1		awful health
4584	4		very helpful Staff
3267	10		bad quality
768	9		perfect Breakfast
2700	13		very comfy Bed
4137	4		extremely friendly staff
110	1		good memory
1701	3		Modern location
3164	2		right at room
394	1		nice stay
430	0		friendly name
1922	3		3 minute walk Train station
2923	2		Fabulous room
4125	4		very nice staff
3715	11		very good Room facilities
3963	17		great view
1996	5		didn t work fan
2931	2		wasn t great room
3494	14		noisy extract fan
4467	4		helpful staff
531	7		great pool
3689	11		free room
1359	3		Excellent location for Kensington
1939	3		excellent location
544	7		not on offer Parking
1998	5		not clean Internet speed
4127	4		brilliant staff
3257	10		dark carpet
1364	3		really close to trainstation business district
71	2		comfort cleanliness
3061	2		well appointed room
201	0		really small building
4209	4		so welcoming staff
511	7		30 bar
302	1		Wonderful stay
3997	17		Beautiful view of the skyline of central
3202	10		too cold Lighting
4973	6		good value
3768	11		roomy Rooms
3158	2		Clean room
1827	3		slightly far from station
3379	14		very enjoyable atmosphere
3118	2		good room
4705	4		very helpful staff
4776	4		very good Waiter
4605	4		always comfortable staff
1088	9		very helpful Breakfast
3974	17		nice view victoria station
2160	5		unreliable Boat transfer
3298	10		uninviting lobby
4424	4		friendly staff
3437	14		Great atmosphere
322	7		lots of amenities
884	9		extremely content food
207	9		great choice
1911	3		Great location
437	0		great Terrace overlooking the canal
1384	3		Good location for road
2988	2		very cold Room
4212	4		Friendly staff
4677	4		Helpful staff
844	9		lovely breakfast
1238	3		Fantastic location
4595	4		helpful Staff
